# DRAFT emoji-data.txt
# For details about the format and other information, see /../../../reports/tr51/index.html#Data_Files.
#
# Format
# Code ;	Default Style ;	Ordering ;	Annotations ;	Sources	# Version Char Name
#
U+1F474 ;	emoji ;	66 ;	fitz-minimal, human, man, old, person ;	j 	# V6.0 (👴) older man
U+1F475 ;	emoji ;	67 ;	fitz-minimal, human, old, person, woman ;	j 	# V6.0 (👵) older woman
U+1F476 ;	emoji ;	68 ;	baby, fitz-minimal, human, person ;	j 	# V6.0 (👶) baby
U+1F471 ;	emoji ;	69 ;	blond, fitz-minimal, human, person ;	j 	# V6.0 (👱) person with blond hair
U+1F46E ;	emoji ;	70 ;	cop, fitz-minimal, human, officer, person, police ;	j 	# V6.0 (👮) police officer
U+1F472 ;	emoji ;	71 ;	fitz-minimal, gua, human, man, mao, person, pi ;	j 	# V6.0 (👲) man with gua pi mao
U+1F473 ;	emoji ;	72 ;	fitz-minimal, human, man, person, turban ;	j 	# V6.0 (👳) man with turban
U+1F477 ;	emoji ;	73 ;	construction, fitz-minimal, human, person, worker ;	j 	# V6.0 (👷) construction worker
U+1F478 ;	emoji ;	74 ;	fairy tale, fantasy, fitz-minimal, human, person, princess ;	j 	# V6.0 (👸) princess
U+1F482 ;	emoji ;	75 ;	fitz-minimal, guard, guardsman, human, person ;	j 	# V6.0 (💂) guardsman
U+1F385 ;	emoji ;	76 ;	activity, celebration, christmas, fantasy, father, fitz-minimal, human, person, santa ;	j 	# V6.0 (🎅) father christmas
U+1F47C ;	emoji ;	77 ;	angel, baby, face, fairy tale, fantasy, fitz-minimal, human ;	j 	# V6.0 (👼) baby angel
U+1F575 ;	emoji ;	78 ;	human, person, sleuth, spy ;	w 	# V7.0 (🕵) sleuth or spy
U+1F46F ;	emoji ;	79 ;	bunny, dancers, ear, fitz-minimal, girl, human, person, woman ;	j 	# V6.0 (👯) woman with bunny ears
U+1F486 ;	emoji ;	80 ;	face, fitz-minimal, human, massage, person, salon ;	j 	# V6.0 (💆) face massage
U+1F487 ;	emoji ;	81 ;	barber, beauty, fitz-minimal, haircut, human, parlor, person ;	j 	# V6.0 (💇) haircut
U+1F470 ;	emoji ;	82 ;	bride, fitz-minimal, human, person, veil, wedding ;	j 	# V6.0 (👰) bride with veil
U+1F64D ;	emoji ;	83 ;	fitz-minimal, frowning, gesture, human, person ;	j 	# V6.0 (🙍) person frowning
U+1F64E ;	emoji ;	84 ;	face, fitz-minimal, gesture, human, person, pouting ;	j 	# V6.0 (🙎) person with pouting face
U+1F645 ;	emoji ;	85 ;	face, fitz-minimal, forbidden, gesture, human, no, not, person, prohibited ;	j 	# V6.0 (🙅) face with no good gesture
U+1F646 ;	emoji ;	86 ;	face, fitz-minimal, gesture, human, ok, person ;	j 	# V6.0 (🙆) face with ok gesture
U+1F481 ;	emoji ;	87 ;	fitz-minimal, help, human, information, person ;	j 	# V6.0 (💁) information desk person
U+1F64B ;	emoji ;	88 ;	fitz-minimal, gesture, hand, happy, human, person, raise ;	j 	# V6.0 (🙋) happy person raising one hand
U+1F647 ;	emoji ;	89 ;	apology, bow, fitz-minimal, gesture, human, person, sorry ;	j 	# V6.0 (🙇) person bowing deeply
U+1F64C ;	emoji ;	90 ;	body, celebration, fitz-optional, gesture, hand, hooray, human, person, raise ;	j 	# V6.0 (🙌) person raising both hands in celebration
U+1F64F ;	emoji ;	91 ;	ask, body, fitz-optional, folded, gesture, hand, human, person, please, pray, prayer, praying, thanks ;	j 	# V6.0 (🙏) person with folded hands
U+1F5E3 ;	emoji ;	92 ;	face, head, human, person, rating, silhouette, speaking ;	w 	# V7.0 (🗣) speaking head in silhouette
U+1F464 ;	emoji ;	93 ;	bust, person, silhouette ;	j 	# V6.0 (👤) bust in silhouette
U+1F465 ;	emoji ;	94 ;	bust, person, silhouette ;	x 	# V6.0 (👥) busts in silhouette
U+1F6C9 ;	emoji ;	95 ;	boy, person ;	w 	# V7.0 (🛉) boys symbol
U+1F6CA ;	emoji ;	96 ;	girl, person ;	w 	# V7.0 (🛊) girls symbol
U+1F6B6 ;	emoji ;	97 ;	fitz-optional, hiker, hiking, human, pedestrian, person, travel, walk, walker, walking ;	j 	# V6.0 (🚶) pedestrian
U+1F3C3 ;	emoji ;	98 ;	fitz-optional, human, marathon, person, runner, running, sport ;	j 	# V6.0 (🏃) runner
U+1F483 ;	emoji ;	99 ;	dancer, fitz-optional, human, person ;	j 	# V6.0 (💃) dancer
U+1F574 ;	emoji ;	100 ;	business, human, man, person, suit ;	w 	# V7.0 (🕴) man in business suit levitating
U+1F48F ;	emoji ;	101 ;	couplekiss, human, kiss, person, romance ;	j 	# V6.0 (💏) kiss
U+1F491 ;	emoji ;	102 ;	couple, heart, human, person, romance ;	j 	# V6.0 (💑) couple with heart
U+1F46A ;	emoji ;	103 ;	child, family, father, human, mother, person ;	jw 	# V6.0 (👪) family
U+1F46B ;	emoji ;	104 ;	couple, hand, hold, human, man, person, woman ;	j 	# V6.0 (👫) man and woman holding hands
U+1F46C ;	emoji ;	105 ;	couple, hand, hold, human, men, person ;	x 	# V6.0 (👬) two men holding hands
U+1F46D ;	emoji ;	106 ;	couple, hand, hold, human, person, woman ;	x 	# V6.0 (👭) two women holding hands
U+1F448 ;	emoji ;	107 ;	backhand, body, finger, fitz-optional, hand, human, index, point ;	jw 	# V6.0 (👈) white left pointing backhand index
U+261A ;	text ;	108 ;	body, finger, hand, human, index, point ;	x 	# V1.1 (☚) black left pointing index
U+261C ;	text ;	109 ;	body, finger, hand, human, index, point ;	w 	# V1.1 (☜) white left pointing index
U+1F59A ;	emoji ;	110 ;	body, finger, hand, human, index, point ;	w 	# V7.0 (🖚) sideways black left pointing index
U+1F598 ;	emoji ;	111 ;	body, finger, hand, human, index, point ;	w 	# V7.0 (🖘) sideways white left pointing index
U+1F59C ;	emoji ;	112 ;	backhand, body, finger, hand, human, index, point ;	w 	# V7.0 (🖜) black left pointing backhand index
U+1F449 ;	emoji ;	113 ;	backhand, body, finger, fitz-optional, hand, human, index, point ;	jw 	# V6.0 (👉) white right pointing backhand index
U+261B ;	text ;	114 ;	body, finger, hand, human, index, point ;	z 	# V1.1 (☛) black right pointing index
U+261E ;	text ;	115 ;	body, finger, hand, human, index, point ;	zw 	# V1.1 (☞) white right pointing index
U+1F59D ;	emoji ;	116 ;	backhand, body, finger, hand, human, index, point ;	w 	# V7.0 (🖝) black right pointing backhand index
U+1F59B ;	emoji ;	117 ;	body, finger, hand, human, index, point ;	w 	# V7.0 (🖛) sideways black right pointing index
U+1F599 ;	emoji ;	118 ;	body, finger, hand, human, index, point ;	w 	# V7.0 (🖙) sideways white right pointing index
U+261D ;	text ;	119 ;	body, finger, fitz-optional, hand, human, index, point, up ;	jw 	# V1.1 (☝) white up pointing index
U+1F5A2 ;	emoji ;	120 ;	backhand, body, finger, fitz-optional, hand, human, index, point, up ;	w 	# V7.0 (🖢) black up pointing backhand index
U+1F59E ;	emoji ;	121 ;	body, finger, fitz-optional, hand, human, index, point, up ;	w 	# V7.0 (🖞) sideways white up pointing index
U+1F5A0 ;	emoji ;	122 ;	body, finger, fitz-optional, hand, human, index, point, up ;	w 	# V7.0 (🖠) sideways black up pointing index
U+1F446 ;	emoji ;	123 ;	backhand, body, finger, fitz-optional, hand, human, index, point, up ;	jw 	# V6.0 (👆) white up pointing backhand index
U+1F595 ;	emoji ;	124 ;	body, extended, finger, fitz-optional, hand, human ;	x 	# V7.0 (🖕) reversed hand with middle finger extended
U+261F ;	text ;	125 ;	body, down, finger, fitz-optional, hand, human, index, point ;	x 	# V1.1 (☟) white down pointing index
U+1F597 ;	emoji ;	126 ;	body, down, finger, fitz-optional, hand, human, index, point ;	w 	# V7.0 (🖗) white down pointing left hand index
U+1F5A3 ;	emoji ;	127 ;	backhand, body, down, finger, fitz-optional, hand, human, index, point ;	w 	# V7.0 (🖣) black down pointing backhand index
U+1F59F ;	emoji ;	128 ;	body, down, finger, fitz-optional, hand, human, index, point ;	w 	# V7.0 (🖟) sideways white down pointing index
U+1F5A1 ;	emoji ;	129 ;	body, down, finger, fitz-optional, hand, human, index, point ;	w 	# V7.0 (🖡) sideways black down pointing index
U+1F447 ;	emoji ;	130 ;	backhand, body, down, finger, fitz-optional, hand, human, index, point ;	jw 	# V6.0 (👇) white down pointing backhand index
U+270C ;	text ;	131 ;	body, fitz-optional, hand, human, v, victory ;	zjw 	# V1.1 (✌) victory hand
U+1F594 ;	emoji ;	132 ;	body, fitz-optional, hand, human, victory ;	x 	# V7.0 (🖔) reversed victory hand
U+1F596 ;	emoji ;	133 ;	body, finger, fitz-optional, hand, human, part, spock, vulcan ;	x 	# V7.0 (🖖) raised hand with part between middle and ring fingers
U+270A ;	emoji ;	134 ;	body, fist, fitz-optional, hand, human ;	j 	# V6.0 (✊) raised fist
U+270B ;	emoji ;	135 ;	body, fitz-optional, hand, human ;	j 	# V6.0 (✋) raised hand
U+1F44A ;	emoji ;	136 ;	body, clenched, facepunch, fist, fitz-optional, hand, human, punch ;	j 	# V6.0 (👊) fisted hand sign
U+1F44B ;	emoji ;	137 ;	body, fitz-optional, hand, human, wave, waving ;	j 	# V6.0 (👋) waving hand sign
U+1F44C ;	emoji ;	138 ;	body, fitz-optional, hand, human, ok ;	j 	# V6.0 (👌) ok hand sign
U+1F44D ;	emoji ;	139 ;	+1, body, fitz-optional, hand, human, thumb, thumbs’s up, up ;	jw 	# V6.0 (👍) thumbs up sign
U+1F592 ;	emoji ;	140 ;	body, fitz-optional, hand, human, thumb, up ;	w 	# V7.0 (🖒) reversed thumbs up sign
U+1F44E ;	emoji ;	141 ;	-1, body, down, fitz-optional, hand, human, thumb, thumb’s down ;	jw 	# V6.0 (👎) thumbs down sign
U+1F593 ;	emoji ;	142 ;	body, down, fitz-optional, hand, human, thumb ;	w 	# V7.0 (🖓) reversed thumbs down sign
U+1F44F ;	emoji ;	143 ;	body, clap, fitz-optional, hand, human ;	j 	# V6.0 (👏) clapping hands sign
U+1F450 ;	emoji ;	144 ;	body, fitz-optional, hand, human, open ;	j 	# V6.0 (👐) open hands sign
U+270D ;	text ;	145 ;	body, fitz-optional, hand, human, writing ;	zw 	# V1.1 (✍) writing hand
U+1F58E ;	emoji ;	146 ;	body, fitz-optional, hand, human, writing ;	w 	# V7.0 (🖎) left writing hand
U+1F58F ;	emoji ;	147 ;	body, fitz-optional, hand, human, ok ;	w 	# V7.0 (🖏) turned ok hand sign
U+1F590 ;	emoji ;	148 ;	body, finger, fitz-optional, hand, human, splayed ;	w 	# V7.0 (🖐) raised hand with fingers splayed
U+1F591 ;	emoji ;	149 ;	body, finger, fitz-optional, hand, human, splayed ;	w 	# V7.0 (🖑) reversed raised hand with fingers splayed
U+1F485 ;	emoji ;	150 ;	body, care, cosmetics, fitz-optional, human, manicure, nail, polish ;	j 	# V6.0 (💅) nail polish
U+1F4AA ;	emoji ;	151 ;	biceps, body, comic, fitz-optional, flex, human, muscle ;	j 	# V6.0 (💪) flexed biceps
U+1F463 ;	emoji ;	152 ;	body, clothing, footprint, footprints, print ;	j 	# V6.0 (👣) footprints
U+1F440 ;	emoji ;	153 ;	body, eyes, face, fitz-optional, human ;	j 	# V6.0 (👀) eyes
U+1F441 ;	emoji ;	154 ;	body, eye, fitz-optional, human ;	w 	# V7.0 (👁) eye
U+1F442 ;	emoji ;	155 ;	body, ear, fitz-optional, human ;	jw 	# V6.0 (👂) ear
U+1F443 ;	emoji ;	156 ;	body, fitz-optional, human, nose ;	j 	# V6.0 (👃) nose
U+1F445 ;	emoji ;	157 ;	body, fitz-optional, human, tongue ;	j 	# V6.0 (👅) tongue
U+1F480 ;	emoji ;	158 ;	body, face, fairy tale, skull ;	j 	# V6.0 (💀) skull
U+1F571 ;	emoji ;	159 ;	body, crossbones, face, skull ;	w 	# V7.0 (🕱) black skull and crossbones
U+2620 ;	text ;	160 ;	body, crossbones, face, skull ;	x 	# V1.1 (☠) skull and crossbones
U+1F48B ;	emoji ;	161 ;	emotion, fitz-optional, heart, human, kiss, lips, mark, romance ;	j 	# V6.0 (💋) kiss mark
U+1F444 ;	emoji ;	162 ;	body, fitz-optional, human, lips, mouth ;	j 	# V6.0 (👄) mouth
U+1F5E2 ;	emoji ;	163 ;	body, fitz-optional, hand, human, lips, rating ;	w 	# V7.0 (🗢) lips
U+1F498 ;	emoji ;	164 ;	arrow, cupid, emotion, heart ;	j 	# V6.0 (💘) heart with arrow
U+2764 ;	text ;	165 ;	emotion, heart ;	zj 	# V1.1 (❤) heavy black heart
U+1F493 ;	emoji ;	166 ;	beating, emotion, heart, heartbeat, pulsating ;	j 	# V6.0 (💓) beating heart
U+1F494 ;	emoji ;	167 ;	break, broken, emotion, heart ;	j 	# V6.0 (💔) broken heart
U+1F495 ;	emoji ;	168 ;	emotion, heart, love ;	j 	# V6.0 (💕) two hearts
U+1F496 ;	emoji ;	169 ;	emotion, excited, heart, sparkle, sparkler ;	j 	# V6.0 (💖) sparkling heart
U+1F497 ;	emoji ;	170 ;	emotion, excited, growing, heart, heartpulse, nervous ;	j 	# V6.0 (💗) growing heart
U+1F499 ;	emoji ;	171 ;	blue, emotion, heart ;	j 	# V6.0 (💙) blue heart
U+1F49A ;	emoji ;	172 ;	emotion, green, heart ;	j 	# V6.0 (💚) green heart
U+1F49B ;	emoji ;	173 ;	emotion, heart, yellow ;	j 	# V6.0 (💛) yellow heart
U+1F49C ;	emoji ;	174 ;	emotion, heart, purple ;	j 	# V6.0 (💜) purple heart
U+1F49D ;	emoji ;	175 ;	emotion, heart, ribbon, valentine ;	j 	# V6.0 (💝) heart with ribbon
U+1F49E ;	emoji ;	176 ;	emotion, heart, revolving ;	j 	# V6.0 (💞) revolving hearts
U+1F49F ;	emoji ;	177 ;	emotion, heart ;	j 	# V6.0 (💟) heart decoration
U+2619 ;	text ;	178 ;	bullet, emotion, flower, heart ;	x 	# V3.0 (☙) reversed rotated floral heart bullet
U+2763 ;	text ;	179 ;	emotion, exclamation, heart, mark ;	z 	# V1.1 (❣) heavy heart exclamation mark ornament
U+2765 ;	text ;	180 ;	bullet, emotion, heart ;	z 	# V1.1 (❥) rotated heavy black heart bullet
U+2766 ;	text ;	181 ;	emotion, flower, heart ;	z 	# V1.1 (❦) floral heart
U+2767 ;	text ;	182 ;	bullet, emotion, flower, heart ;	z 	# V1.1 (❧) rotated floral heart bullet
U+1F394 ;	emoji ;	183 ;	celebration, emotion, heart ;	w 	# V7.0 (🎔) heart with tip on the left
U+1F48C ;	emoji ;	184 ;	emotion, heart, letter, love, mail, romance ;	j 	# V6.0 (💌) love letter
U+1F4A7 ;	emoji ;	185 ;	cold, comic, drop, droplet, emotion, object, sweat, weather ;	j 	# V6.0 (💧) droplet
U+1F4A4 ;	emoji ;	186 ;	comic, emotion, sleeping, sleepy, word, zzz ;	j 	# V6.0 (💤) sleeping symbol
U+1F4A2 ;	emoji ;	187 ;	anger, angry, comic, emotion ;	j 	# V6.0 (💢) anger symbol
U+1F4A3 ;	emoji ;	188 ;	bomb, comic, emotion, object ;	jw 	# V6.0 (💣) bomb
U+1F4A5 ;	emoji ;	189 ;	boom, collision, comic, emotion ;	j 	# V6.0 (💥) collision symbol
U+1F4A6 ;	emoji ;	190 ;	comic, emotion, object, splashing, sweat ;	j 	# V6.0 (💦) splashing sweat symbol
U+1F4A8 ;	emoji ;	191 ;	comic, dash, emotion, object, running ;	j 	# V6.0 (💨) dash symbol
U+1F4AB ;	emoji ;	192 ;	comic, dizzy, emotion, star ;	j 	# V6.0 (💫) dizzy symbol
U+1F4AC ;	emoji ;	193 ;	balloon, bubble, comic, dialog, emotion, speech ;	j 	# V6.0 (💬) speech balloon
U+1F4AD ;	emoji ;	194 ;	balloon, bubble, comic, emotion, thought ;	x 	# V6.0 (💭) thought balloon
U+1F573 ;	emoji ;	195 ;	emotion, hole ;	w 	# V7.0 (🕳) hole
U+1F5E4 ;	emoji ;	196 ;	3, above, comic, emotion, rays, three ;	w 	# V7.0 (🗤) three rays above
U+1F5E5 ;	emoji ;	197 ;	3, below, comic, emotion, rays, three ;	w 	# V7.0 (🗥) three rays below
U+1F5E6 ;	emoji ;	198 ;	3, comic, emotion, rays, three ;	w 	# V7.0 (🗦) three rays left
U+1F5E7 ;	emoji ;	199 ;	3, comic, emotion, rays, three ;	w 	# V7.0 (🗧) three rays right
U+1F5E8 ;	emoji ;	200 ;	balloon, bubble, emotion, speech ;	w 	# V7.0 (🗨) left speech bubble
U+1F5E9 ;	emoji ;	201 ;	balloon, bubble, emotion, speech ;	w 	# V7.0 (🗩) right speech bubble
U+1F5EA ;	emoji ;	202 ;	balloon, bubble, emotion, speech ;	w 	# V7.0 (🗪) two speech bubbles
U+1F5EB ;	emoji ;	203 ;	3, balloon, bubble, emotion, speech, three ;	w 	# V7.0 (🗫) three speech bubbles
U+1F5EC ;	emoji ;	204 ;	balloon, bubble, emotion, thought ;	w 	# V7.0 (🗬) left thought bubble
U+1F5ED ;	emoji ;	205 ;	balloon, bubble, emotion, thought ;	w 	# V7.0 (🗭) right thought bubble
U+1F5EE ;	emoji ;	206 ;	anger, angry, balloon, bubble, emotion ;	w 	# V7.0 (🗮) left anger bubble
U+1F5EF ;	emoji ;	207 ;	anger, angry, balloon, bubble, emotion ;	w 	# V7.0 (🗯) right anger bubble
U+1F5F0 ;	emoji ;	208 ;	balloon, bubble, emotion, mood ;	w 	# V7.0 (🗰) mood bubble
U+1F5F1 ;	emoji ;	209 ;	balloon, bubble, emotion, lightning, mood ;	w 	# V7.0 (🗱) lightning mood bubble
U+1F5F2 ;	emoji ;	210 ;	emotion, lightning, mood, nature ;	w 	# V7.0 (🗲) lightning mood
U+1F453 ;	emoji ;	211 ;	clothing, eye, eyeglasses, glasses ;	jw 	# V6.0 (👓) eyeglasses
U+1F576 ;	emoji ;	212 ;	dark, eye, glasses, object, sunglasses ;	w 	# V7.0 (🕶) dark sunglasses
U+1F454 ;	emoji ;	213 ;	clothing, necktie ;	j 	# V6.0 (👔) necktie
U+1F455 ;	emoji ;	214 ;	clothing, shirt, tshirt ;	j 	# V6.0 (👕) t-shirt
U+1F456 ;	emoji ;	215 ;	clothing, jeans, pants, trousers ;	j 	# V6.0 (👖) jeans
U+1F457 ;	emoji ;	216 ;	clothing, dress ;	j 	# V6.0 (👗) dress
U+1F458 ;	emoji ;	217 ;	clothing, kimono ;	j 	# V6.0 (👘) kimono
U+1F459 ;	emoji ;	218 ;	bikini, clothing ;	j 	# V6.0 (👙) bikini
U+1F45A ;	emoji ;	219 ;	clothes, clothing, woman ;	j 	# V6.0 (👚) womans clothes
U+1F45B ;	emoji ;	220 ;	clothing, coin, purse ;	j 	# V6.0 (👛) purse
U+1F45C ;	emoji ;	221 ;	bag, clothing, handbag ;	j 	# V6.0 (👜) handbag
U+1F45D ;	emoji ;	222 ;	bag, clothing, pouch ;	j 	# V6.0 (👝) pouch
U+1F45E ;	emoji ;	223 ;	clothing, man, shoe ;	j 	# V6.0 (👞) mans shoe
U+1F45F ;	emoji ;	224 ;	athletic, clothing, shoe, sneaker ;	j 	# V6.0 (👟) athletic shoe
